nM,nV,capacity_leased_mbps,valid,revenue_mno_total,revenue_mvno_gross,pM,pV,rM_mbps,rV_mbps
1355.3757603613549,644.6242396386451,100.0,False,-inf,,,0.8618285217865553,,
1408.6277212842401,591.3722787157599,100.0,False,-inf,,,1.149234656823755,,
1461.8796822071256,538.1203177928744,100.0,False,-inf,,,1.4637798506242716,,
1515.1316431300108,484.86835686998916,100.0,True,498.3137896681867,878.159149430549,0.13726236668852076,1.811129014686383,5.940077907294901,2.062415469748083
1568.3836040528963,431.6163959471037,100.0,True,892.3987632680642,949.0941091018443,0.3431648122854593,2.1989296931578095,5.7383920469092455,2.3168721331952224
1621.6355649757816,378.36443502421844,100.0,True,1348.8801363583532,998.0727672432422,0.5862073244882442,2.637860947949184,5.54995227928071,2.642954536506561
1674.8875258986668,325.1124741013332,100.0,True,1884.4788977288185,1021.9855709147195,0.8745016374276747,3.1434831091598787,5.3734951516645975,3.075858601747509
1728.1394868215523,271.8605131784477,100.0,True,2523.424448479371,1016.6921790712064,1.2200412659935933,3.739756712678076,5.20791294257912,3.6783569202770012
1781.3914477444375,218.60855225556247,100.0,True,2943.4712871578045,937.3580123980154,1.4594484998182,4.287837793748366,5.0522303850709624,4.574386453238839
1834.643408667323,165.356591332677,100.0,True,2479.698769244135,755.1862297447882,1.253666598973889,4.567016190031681,4.905585443733483,6.04753636937353
1887.8953695902082,112.10463040979175,100.0,False,-inf,,,4.955687856288856,,
