capacity_leased_mbps,nM,nV,pM,pV,rM_mbps,rV_mbps,revenue_mno_total,revenue_mvno_gross,revenue_mvno_retained,valid
350.0,10.0,,,,,,,,,False
350.0,14.95,,,,,,,,,False
350.0,19.9,,,,,,,,,False
350.0,24.85,,,,,,,,,False
350.0,29.8,,,,,,,,,False
350.0,34.75,,,,,,,,,False
350.0,39.7,,,,,,,,,False
350.0,44.65,,,,,,,,,False
350.0,49.6,,,,,,,,,False
350.0,54.550000000000004,,,,,,,,,False
350.0,59.5,,,,,,,,,False
350.0,64.45,,,,,,,,,False
350.0,69.4,,,,,,,,,False
350.0,74.35000000000001,,,,,,,,,False
350.0,79.3,,,,,,,,,False
350.0,84.25,,,,,,,,,False
350.0,89.2,,,,,,,,,False
350.0,94.15,,,,,,,,,False
350.0,99.10000000000001,,,,,,,,,False
350.0,104.05,,,,,,,,,False
350.0,109.0,,,,,,,,,False
350.0,113.95,,,,,,,,,False
350.0,118.9,,,,,,,,,False
350.0,123.85000000000001,,,,,,,,,False
350.0,128.8,,,,,,,,,False
350.0,133.75,,,,,,,,,False
350.0,138.70000000000002,,,,,,,,,False
350.0,143.65,,,,,,,,,False
350.0,148.6,,,,,,,,,False
350.0,153.55,,,,,,,,,False
350.0,158.5,,,,,,,,,False
350.0,163.45000000000002,,,,,,,,,False
350.0,168.4,,,,,,,,,False
350.0,173.35,1664.7494791666668,56.002431346868065,3.570792305992673,37.49639457744448,2.102418438209703,14558.048642431859,5944.474631613643,594.4474631613643,True
350.0,178.3,1660.7648437499997,55.4592004607411,3.573077271163279,36.45541222658441,2.107462723077046,14729.012446505283,5934.041115950158,593.4041115950158,True
350.0,183.25,1656.77734375,54.91162745877733,3.5753712977448258,35.47066848567531,2.1125349240218325,14893.790477258844,5923.594161597663,592.3594161597663,True
350.0,188.20000000000002,1652.7869791666667,54.34859139532555,3.577674413380282,34.53772582359191,2.1176352694675122,15050.225218119675,5913.133686132673,591.3133686132672,True
350.0,193.15,1648.7937499999998,53.7424181832895,3.5799866457079896,33.65260160497023,2.122763990341424,15192.741717976485,5902.659606526797,590.2659606526797,True
350.0,198.1,1644.7976562500003,52.95836574278409,3.5823080224748436,32.81171125694094,2.1279213201091887,15294.006909044505,5892.171839332196,589.2171839332196,True
350.0,203.05,,,,,,,,,False
350.0,208.0,,,,,,,,,False
350.0,212.95000000000002,,,,,,,,,False
350.0,217.9,,,,,,,,,False
350.0,222.85,,,,,,,,,False
350.0,227.8,,,,,,,,,False
350.0,232.75,,,,,,,,,False
350.0,237.70000000000002,,,,,,,,,False
350.0,242.65,,,,,,,,,False
350.0,247.60000000000002,,,,,,,,,False
350.0,252.55,,,,,,,,,False
350.0,257.5,,,,,,,,,False
350.0,262.45000000000005,,,,,,,,,False
350.0,267.40000000000003,,,,,,,,,False
350.0,272.35,,,,,,,,,False
350.0,277.3,,,,,,,,,False
350.0,282.25,,,,,,,,,False
350.0,287.2,,,,,,,,,False
350.0,292.15000000000003,,,,,,,,,False
350.0,297.1,,,,,,,,,False
350.0,302.05,,,,,,,,,False
350.0,307.0,,,,,,,,,False
350.0,311.95,,,,,,,,,False
350.0,316.90000000000003,,,,,,,,,False
350.0,321.85,,,,,,,,,False
350.0,326.8,,,,,,,,,False
350.0,331.75,,,,,,,,,False
350.0,336.7,,,,,,,,,False
350.0,341.65000000000003,,,,,,,,,False
350.0,346.6,,,,,,,,,False
350.0,351.55,,,,,,,,,False
350.0,356.5,,,,,,,,,False
350.0,361.45,,,,,,,,,False
350.0,366.40000000000003,,,,,,,,,False
350.0,371.35,,,,,,,,,False
350.0,376.3,,,,,,,,,False
350.0,381.25,,,,,,,,,False
350.0,386.2,,,,,,,,,False
350.0,391.15000000000003,,,,,,,,,False
350.0,396.1,,,,,,,,,False
350.0,401.05,,,,,,,,,False
350.0,406.0,,,,,,,,,False
350.0,410.95,,,,,,,,,False
350.0,415.90000000000003,,,,,,,,,False
350.0,420.85,,,,,,,,,False
350.0,425.8,,,,,,,,,False
350.0,430.75,,,,,,,,,False
350.0,435.7,,,,,,,,,False
350.0,440.65000000000003,,,,,,,,,False
350.0,445.6,,,,,,,,,False
