capacity_leased_mbps,valid,revenue_mno_total,revenue_mvno_gross,nV,nM,pV,pM,rV_mbps,rM_mbps,nV_lo,nV_hi
5.0,False,,,,,,,,,,
10.0,False,,,,,,,,,,
15.0,False,,,,,,,,,,
20.0,False,,,,,,,,,,
25.0,False,,,,,,,,,,
30.0,False,,,,,,,,,,
35.0,False,,,,,,,,,,
40.0,False,,,,,,,,,,
45.0,False,,,,,,,,,,
50.0,False,,,,,,,,,,
55.0,True,2262.7228796640156,555.5555555555557,142.1286695162873,1857.8713304837127,3.908821193122416,1.217911511167405,3.869732981191191,5.086466347236011,142.1286695162873,197.19367472125836
60.0,True,2652.0683355517776,596.316926717387,141.5995169236508,1858.4004830763492,4.2112920981144,1.407330188150129,4.237302591388886,5.058113192286453,129.08392995600659,270.4827081025438
65.0,True,2704.6784504285624,646.0096091962847,153.39935374246875,1846.6006462575313,4.211292899452655,1.4205940019941155,4.237305986902909,5.063357916043979,126.04123995677722,324.85825058469584
70.0,True,2755.0092189586667,695.7031050233223,165.19944383878897,1834.800556161211,4.211292053151396,1.4327859317515357,4.237302400867039,5.068670798453188,123.36676536912682,374.4403159155886
75.0,True,2803.513325421775,745.3957278112152,176.9992620697607,1823.0007379302392,4.211292855658531,1.444133902754583,4.237305801333807,5.074051703622497,120.99057903894105,421.70991703651504
80.0,True,2850.5224592950653,795.0890815602612,188.79930792283457,1811.2006920771655,4.211292352222114,1.4548041514212107,4.237303668120295,5.079503359425636,118.860075451824,467.62132605598975
85.0,True,2896.2802318305244,844.7822633919992,200.59930024067603,1799.400699759324,4.211292174890152,1.4649189561448408,4.237302916710989,5.085026365291424,116.93481845248995,512.6467719268345
90.0,True,2940.974302255961,894.4748936222459,212.39912078920682,1787.6008792107932,4.211292825971524,1.4745723884179796,4.237305675540885,5.090621796973804,115.18314519569415,557.0543290376622
95.0,True,2984.753444674986,944.1675472590223,224.1989486265796,1775.8010513734205,4.2112933760077755,1.4838388850507387,4.237308006213254,5.096291610482294,113.579860433853,601.0102417297437
100.0,True,3027.7378534957647,993.8614511136832,235.99916578312312,1764.000834216877,4.211292221375965,1.4927785159820965,4.237303113685465,5.10203840351103,112.10463040979181,644.6242396386452
105.0,True,3070.0201383390468,1043.5538164239367,247.79890383528934,1752.2010961647106,4.211293110148629,1.5014382249365976,4.237306879686318,5.107861203597079,110.74083868740351,687.9722113237765
110.0,True,3111.6828249085775,1093.2464280147685,259.5987185795222,1740.4012814204777,4.211293622698978,1.5098592880548585,4.23730905151999,5.113763184968476,109.47475475462123,731.1085886643186
115.0,True,3927.156302824492,555.5555555555557,774.073575913197,1225.9264240868029,0.7177038111656902,3.2034192474069925,1.4856468891129782,7.2190302991408295,108.29491916249934,774.073575913197
120.0,True,4492.44335004224,555.5555555555552,816.8975959697032,1183.1024040302968,0.6800798022866987,3.797172023941892,1.46897237293927,7.438071269251388,107.19168157593518,816.8975959697032
125.0,True,4877.298869569751,555.5555555555551,859.6041433693053,1140.3958566306947,0.646292319366911,4.27684723792294,1.454157718575551,7.672774281951461,106.15684874360537,859.6041433693053
130.0,True,5157.972757284006,555.5555555555555,902.2116802627439,1097.7883197372562,0.6157707417329883,4.698513059893469,1.4409035356551927,7.925025110562527,105.18341276045108,902.2116802627439
135.0,True,5367.838655146506,555.5555555555565,944.7349342179115,1055.2650657820886,0.5880544218632786,5.086720700991119,1.4289722451277647,8.196992661354923,104.26533884117704,944.7349342179115
140.0,True,5524.717644564237,555.5555555555554,987.185809335846,1012.814190664154,0.5627669586633537,5.454818559504382,1.4181727358316516,8.491192243624212,103.39739779079497,987.185809335846
145.0,True,5639.304487991735,555.5555555555559,1029.5740400781535,970.4259599218465,0.5395974781118067,5.811164087619727,1.4083494178718148,8.810563972019644,102.57503245572585,1029.5740400781535
150.0,True,5723.173824569463,612.9068009304614,1051.2984436592503,948.7015563407497,0.5829998176322977,5.9782316850073425,1.4268070204488803,8.959614267721317,101.79425029792556,1071.907669560259
155.0,True,5801.302897502834,712.5816727177585,1057.045871869373,942.9541281306269,0.6741255906496908,6.002391021159808,1.4663507433777148,8.961199434750686,101.05153625887458,1114.1934054271458
160.0,True,5876.785425113633,809.882461515019,1062.730283579654,937.269716420346,0.7620771460346896,6.025897466655324,1.505556042508387,8.962201437683893,100.3437815332699,1156.4368886794543
165.0,True,5949.782888039177,904.9502660676491,1068.356446835946,931.6435531640541,0.847049005739384,6.048802280056096,1.5444283646030825,8.962655268360601,99.66822492829691,1198.6428995173544
170.0,True,6020.442194125968,997.9197550896574,1073.9263970228285,926.0736029771715,0.9292254644788702,6.071131275603232,1.5829762679386519,8.962570548730566,99.02240426085476,1240.8155169008032
175.0,True,6088.897370072916,1088.9172027174434,1079.4405079078435,920.5594920921565,1.0087792654992793,6.0928945231773435,1.6212102354689517,8.961941157382688,98.40411582225614,1282.9582436159817
180.0,True,6155.271015751418,1178.0481398315526,1084.9033443305063,915.0966556694937,1.0858553860929665,6.114138495905271,1.659133976686909,8.960802063035407,97.81138037323512,1325.0741053042348
185.0,True,6219.67555899372,1265.4163151450894,1090.3162461071536,909.6837538928464,1.1605956709010896,6.134880227860498,1.6967554199116157,8.959157471069892,97.2424144604954,1367.1657296063975
190.0,True,6282.2143436959395,1351.1165132742765,1095.6806740994602,904.3193259005398,1.2331298207707815,6.1551371537992345,1.734081877059308,8.957013046175756,96.69560609711584,1409.2354099584156
195.0,True,6342.982576445828,1435.2352690369366,1100.9983452798992,899.0016547201008,1.3035762271487035,6.174928383241901,1.77111982807228,8.95437728922348,96.16949404269485,1451.2851574224444
200.0,True,6402.068153704277,1517.8508908486065,1106.2716840639762,893.7283159360238,1.3720417079398268,6.194278790576909,1.8078741676301813,8.951266125680936,95.6627500695006,1493.316743106433
205.0,True,6459.5523859607665,1599.0377093984193,1111.5020801477108,888.4979198522892,1.4386277254523163,6.213203569930638,1.8443510242712,8.947685551499848,95.17416371858984,1535.331733117892
210.0,True,6515.510635659564,1678.8661217293727,1116.6900153832544,883.3099846167456,1.5034307628811172,6.23170939077685,1.8805576937833262,8.943632629068135,94.7026291426077,1577.3315175488326
215.0,True,6570.012879178349,1757.395662641978,1121.8391372391984,878.1608627608016,1.5665308904865443,6.249830771945389,1.9164958046401062,8.93913670363402,94.24713370555034,1619.317334653787
220.0,True,6623.124204411849,1834.6874169874675,1126.9498464586745,873.0501535413255,1.6280115949727367,6.267572953200468,1.9521720570913395,8.934194637457091,93.80674806849022,1661.2902911301926
225.0,True,6674.905252148734,1910.798366048816,1132.0223832192705,867.9776167807295,1.687951046175293,6.28493940078515,1.987593207831633,8.92880167664257,93.38061753740199,1703.2513792182085
230.0,True,6725.41260946825,1985.776466952291,1137.0601499939037,862.9398500060963,1.7464128586011372,6.301961589991202,2.0227601855647928,8.922985767716721,92.96795448728166,1745.2014911894933
235.0,True,6774.699159049569,2059.6716551322984,1142.0633433308114,857.9366566691886,1.8034653394314324,6.318642090054418,2.0576792116856306,8.916742209966861,92.56803170763477,1787.141431680408
