price,feasible,subscribers,rate_mbps,revenue,price_bounds_ok,fixed_point_residual,rate_identity_error,revenue_identity_error,max_acceptance_column_error,acceptance_prob_bounds_ok
0.0,True,2000.0,5.0,0.0,True,-3.174818630213849e-08,0.0,0.0,0.0,True
0.1,True,1999.99999989995,5.000000000250125,199.999999989995,True,4.794583219336346e-08,0.0,0.0,0.0,True
0.2,True,1999.99999989995,5.000000000250125,399.99999997999,True,1.4989609553595074e-08,0.0,0.0,0.0,True
0.30000000000000004,True,1999.999999861875,5.000000000345312,599.9999999585626,True,0.0,0.0,0.0,0.0,True
0.4,True,1999.9999997769005,5.0000000005577485,799.9999999107603,True,0.0,0.0,0.0,0.0,True
0.5,True,1999.9999996415727,5.000000000896068,999.9999998207863,True,0.0,0.0,0.0,0.0,True
0.6000000000000001,True,1999.9999994272382,5.000000001431904,1199.999999656343,True,0.0,0.0,0.0,0.0,True
0.7000000000000001,True,1999.9999990896406,5.000000002275899,1399.9999993627484,True,0.0,0.0,0.0,0.0,True
0.8,True,1999.9999985608256,5.000000003597935,1599.9999988486607,True,0.0,0.0,0.0,0.0,True
0.9,True,1999.9999977370626,5.000000005657343,1799.9999979633565,True,0.0,0.0,0.0,0.0,True
1.0,True,1999.999996460945,5.000000008847637,1999.999996460945,True,2.2737367544323206e-13,0.0,0.0,0.0,True
1.1,True,1999.9999944950243,5.000000013762439,2199.999993944527,True,2.2737367544323206e-13,0.0,0.0,0.0,True
1.2000000000000002,True,1999.9999914832274,5.000000021291931,2399.9999897798734,True,6.821210263296962e-13,0.0,0.0,0.0,True
1.3,True,1999.9999868947662,5.000000032763085,2599.999982963196,True,1.1368683772161603e-12,0.0,0.0,0.0,True
1.4000000000000001,True,1999.9999799426598,5.000000050143351,2799.999971919724,True,2.7284841053187847e-12,0.0,0.0,0.0,True
1.5,True,1999.9999690852217,5.000000077286947,2999.9999536278324,True,6.366462912410498e-12,0.0,0.0,0.0,True
1.6,True,1999.9998313182896,5.0000004217043115,3199.9997301092635,True,5.845777195645496e-10,0.0,0.0,0.0,True
1.7000000000000002,True,1999.9851196225354,5.0000372012204455,3399.9747033583108,True,2.2737367544323206e-13,0.0,0.0,0.0,True
1.8,True,1999.3175078653842,5.0017068127796875,3598.7715141576914,True,-2.2737367544323206e-13,0.0,0.0,0.0,True
1.9000000000000001,True,1988.949563387429,5.027779579774136,3779.004170436115,True,0.0,0.0,0.0,0.0,True
2.0,True,1942.1762585996166,5.148863269088863,3884.3525171992333,True,3.4629010770004243e-10,0.0,0.0,0.0,True
