case,capacity_leased_mbps,nM,nV,pM,pV,rM_mbps,rV_mbps,revenue_mno_total,revenue_mvno_gross,revenue_mvno_retained,valid
parallel_baseline,100.0,199.0625,1104.9800166377313,68.37131437936448,2.7394219148172323,45.21193092621664,0.904993741916557,15834.470594353501,3027.006473012511,302.7006473012511,True
parallel_baseline,110.0,199.0625,1147.9915364583333,68.18710200040775,2.7960569639568638,44.70957613814757,0.9581952175306171,15962.359749026244,3209.8497300778627,320.98497300778627,True
parallel_baseline,115.0,199.0625,1168.2017686631943,68.01330128614822,2.8233841843259,44.45839874411303,0.9844189855284817,16007.351945244565,3298.282397745207,329.82823977452074,True
parallel_baseline,120.0,199.0625,1188.4120008680557,67.68425243230267,2.847989467570981,44.20722135007849,1.0097508264166637,16019.52287525171,3384.584861607178,338.4584861607178,True
parallel_baseline,125.0,199.0625,1207.5858109085648,67.26462134532257,2.872266688245396,43.956043956043956,1.0351231264132887,16011.521334636702,3468.5084978704745,346.8508497870475,True
parallel_baseline,130.0,199.0625,1226.241409866898,66.84396411452666,2.895353298893959,43.70486656200942,1.0601501380883134,16001.488506716614,3550.4021112985024,355.04021112985026,True
parallel_baseline,140.0,199.0625,1260.9615523726852,66.02347620371452,2.9410730159350975,43.202511773940344,1.1102638279221864,15980.520228035366,3708.579995814936,370.85799958149363,True
parallel_baseline,350.0,198.48958333333334,1644.442229094329,52.866287682168505,3.582579641286644,32.74731041721333,2.12838124567478,15295.618140516593,5891.345251225371,589.1345251225371,True
dense_41,100.0,,,,,,,,,,False
dense_41,110.0,,,,,,,,,,False
dense_41,115.0,,,,,,,,,,False
dense_41,120.0,,,,,,,,,,False
dense_41,125.0,,,,,,,,,,False
dense_41,130.0,,,,,,,,,,False
dense_41,140.0,,,,,,,,,,False
dense_41,350.0,,,,,,,,,,False
dense_61,100.0,199.38455555555555,1104.7358593699587,68.27637563367222,2.7400281385542713,45.138902433655566,0.9051937542520883,15837.561416973156,3027.0073403436213,302.70073403436214,True
dense_61,110.0,199.36622222222223,1147.8151262386832,68.09672687208898,2.7964592126444283,44.64146383874232,0.9583424846513651,15965.02354795138,3209.818184182793,320.9818184182793,True
dense_61,115.0,199.2708888888889,1168.2391675133058,67.94887714025688,2.8232048536406653,44.411906070909616,0.9843874713153733,16008.593785883917,3298.178487936695,329.81784879366955,True
dense_61,120.0,199.0961111111111,1188.4280248436212,67.67338571196748,2.847922673495939,44.19975835233123,1.0097372116059797,16019.603926968088,3384.551117770144,338.45511177701445,True
dense_61,125.0,199.03377777777777,1207.677706139369,67.27504920549104,2.872075551569525,43.96238717716256,1.0350443612939781,16011.694646135373,3468.541613978447,346.85416139784473,True
dense_61,130.0,199.0191111111111,1226.0870789931412,66.85676396778992,2.895759976743342,43.71439482082123,1.0602835820336316,16001.182238850353,3550.4538913504907,355.0453891350491,True
dense_61,140.0,198.99833333333333,1261.0113474969132,66.04498283042803,2.9410192078455957,43.21644234876339,1.1102199855528476,15980.634243153505,3708.658594299679,370.86585942996794,True
dense_61,350.0,198.53755555555554,1644.6630352329216,52.855878833322734,3.5820380264335476,32.73939775178276,2.1280954973882054,15295.997959895074,5891.2455328739425,589.1245532873943,True
tight_dense_61,100.0,199.38455555555555,1104.7358593699587,68.27637563367222,2.7400281385542713,45.138902433655566,0.9051937542520883,15837.561416973156,3027.0073403436213,302.70073403436214,True
tight_dense_61,110.0,199.36622222222223,1147.8151262386832,68.0967268720892,2.796459212646697,44.64146383874232,0.9583424846513651,15965.023547953766,3209.8181841853975,320.9818184185398,True
tight_dense_61,115.0,199.2708888888889,1168.2391675133058,67.94887714025708,2.823204853566985,44.411906070909616,0.9843874713153733,16008.59378580649,3298.178487850619,329.8178487850619,True
tight_dense_61,120.0,199.0961111111111,1188.4280248436212,67.67338571196748,2.847922673495939,44.19975835233123,1.0097372116059797,16019.603926968088,3384.551117770144,338.45511177701445,True
tight_dense_61,125.0,199.03377777777777,1207.677706139369,67.27504920546181,2.872075551574451,43.96238717716256,1.0350443612939781,16011.694646134907,3468.5416139843965,346.85416139843966,True
tight_dense_61,130.0,199.0191111111111,1226.0870789931412,66.85676396778992,2.895759976743342,43.71439482082123,1.0602835820336316,16001.182238850353,3550.4538913504907,355.0453891350491,True
tight_dense_61,140.0,198.99833333333333,1261.0113474969132,66.04498283025012,2.9410192079140374,43.21644234876339,1.1102199855528476,15980.634243195775,3708.6585943859845,370.8658594385985,True
tight_dense_61,350.0,198.53755555555554,1644.6630352329216,52.855878833322734,3.5820380264335476,32.73939775178276,2.1280954973882054,15295.997959895074,5891.2455328739425,589.1245532873943,True
dense_41_fast_bvn_off,100.0,,,,,,,,,,False
dense_41_fast_bvn_off,110.0,,,,,,,,,,False
dense_41_fast_bvn_off,115.0,,,,,,,,,,False
dense_41_fast_bvn_off,120.0,,,,,,,,,,False
dense_41_fast_bvn_off,125.0,,,,,,,,,,False
dense_41_fast_bvn_off,130.0,,,,,,,,,,False
dense_41_fast_bvn_off,140.0,,,,,,,,,,False
dense_41_fast_bvn_off,350.0,,,,,,,,,,False
