capacity_leased_mbps,valid,revenue_mno_total,revenue_mvno_gross,nM,nV,pM,pV,rM_mbps,rV_mbps,revenue_mvno_retained
285.0,True,15581.084937191954,5390.045131258763,198.7013333333333,1575.2024969958848,56.517206657189355,3.421810936395973,35.98365385905815,1.8092911898218287,539.0045131258763
290.0,True,15561.563236545306,5432.827926879485,198.69277777777776,1581.6310350466392,56.22760035520159,3.43495278386421,35.73355850880896,1.833550262823772,543.2827926879485
295.0,True,15541.632614490441,5474.851973617124,198.67933333333332,1587.8604826563787,55.940724441571,3.447942708705794,35.484314758455,1.8578458449100375,547.4851973617124
300.0,True,15521.29412814439,5516.126164634742,198.66588888888887,1593.8931979972565,55.65515369453801,3.4607878191373254,35.23503727363586,1.8821838274794893,551.6126164634742
305.0,True,15500.550334435266,5556.665624985872,198.65366666666665,1599.734726594033,55.370492055426354,3.4734919062590275,34.98551079684744,1.906566100802038,555.6665624985872
310.0,True,15479.403100485475,5596.489710662526,198.64144444444443,1605.3916700159807,55.08700559187482,3.4860587700737327,34.735953613797726,1.9309929519997702,559.6489710662526
315.0,True,15457.854855373815,5635.619852065803,198.62677777777776,1610.8717378982853,54.80528411276724,3.49849073608966,34.48679013291819,1.9554629495889133,563.5619852065803
320.0,True,15435.907930822383,5674.055214855226,198.61822222222222,1616.1739119887518,54.522984428571014,3.5107949539125567,34.23653642610838,1.9799849361893864,567.4055214855226
325.0,True,15413.565000196377,5711.8457830429725,198.59866666666665,1621.316843988477,54.24459275720734,3.5229670278338063,33.98814359277337,2.0045434129981183,571.1845783042972
330.0,True,15390.828669089387,5748.965115395923,198.58888888888887,1626.2896169067214,53.964550208189735,3.535019258335254,33.73804061992951,2.0291588691790046,574.8965115395923
335.0,True,15367.701221107374,5785.457834431764,198.5742222222222,1631.1087365015087,53.68667217131746,3.5469479777545248,33.48873748858529,2.0538177038921774,578.5457834431764
340.0,True,15344.18509246867,5821.32355106573,198.56199999999998,1635.7731122111113,53.40898004910059,3.558759773962121,33.2389883260644,2.078527868332634,582.132355106573
345.0,True,15320.283289931122,5856.589192264356,198.5461111111111,1640.2927065401234,53.13301256749136,3.5704537177499773,32.98981764661441,2.1032831434562067,585.6589192264356
350.0,True,15295.997959895074,5891.2455328739425,198.53755555555554,1644.6630352329216,52.855878833322734,3.5820380264335476,32.73939775178276,2.1280954973882054,589.1245532873943
355.0,True,15271.331778061687,5925.3501525455895,198.51555555555555,1648.9052625075446,52.58286491231357,3.593505513794476,32.49115658442663,2.152943580640526,592.535015254559
360.0,True,15246.287582386789,5958.853735206669,198.50944444444445,1653.0003173840878,52.30642425986285,3.6048715009545163,32.2402796396477,2.1778580210420557,595.8853735206669
365.0,True,15220.867372583722,5991.824171748583,198.49355555555556,1656.9727915002743,52.03305260517273,3.616127073712176,31.99096304274082,2.20281227230966,599.1824171748583
370.0,True,15195.073734519869,6024.250467106638,198.4788888888889,1660.8181395006861,51.759904399076895,3.627278823506702,31.741411065268625,2.2278176713028794,602.4250467106639
375.0,True,15168.909006041378,6056.155689550192,198.46055555555557,1664.5441831488338,51.48816023839937,3.6383267869127423,31.49240403214744,2.2528690064003527,605.6155689550192
380.0,True,15142.37515732861,6087.538419509452,198.44466666666665,1668.1497090028804,51.21624456071769,3.6492758333712247,31.242966133296605,2.277973001758584,608.7538419509452
385.0,True,15115.474449295096,6118.421269161159,198.42633333333333,1671.6425512658438,50.94533138435953,3.6601253446964557,30.99387010124664,2.3031239525965668,611.842126916116
390.0,True,15088.208977452894,6148.793653688435,198.4153333333333,1675.0180572983538,50.67297229615975,3.6708820104338815,30.743591725101894,2.3283331084145638,614.8793653688435
395.0,True,15060.580635950446,6178.699922929877,198.397,1678.2920527777778,50.40273141889019,3.681540356878516,30.494412717934242,2.3535832118505646,617.8699922929877
400.0,False,,,,,,,,,
405.0,False,,,,,,,,,
410.0,False,,,,,,,,,
415.0,False,,,,,,,,,
420.0,False,,,,,,,,,
425.0,False,,,,,,,,,
430.0,False,,,,,,,,,
435.0,False,,,,,,,,,
440.0,False,,,,,,,,,
445.0,False,,,,,,,,,
450.0,False,,,,,,,,,
455.0,False,,,,,,,,,
460.0,False,,,,,,,,,
465.0,False,,,,,,,,,
470.0,False,,,,,,,,,
475.0,False,,,,,,,,,
480.0,False,,,,,,,,,
485.0,False,,,,,,,,,
490.0,False,,,,,,,,,
495.0,False,,,,,,,,,
500.0,False,,,,,,,,,
505.0,False,,,,,,,,,
510.0,False,,,,,,,,,
515.0,False,,,,,,,,,
520.0,False,,,,,,,,,
525.0,False,,,,,,,,,
530.0,False,,,,,,,,,
535.0,False,,,,,,,,,
540.0,False,,,,,,,,,
545.0,False,,,,,,,,,
550.0,False,,,,,,,,,
555.0,False,,,,,,,,,
560.0,False,,,,,,,,,
565.0,False,,,,,,,,,
570.0,False,,,,,,,,,
575.0,False,,,,,,,,,
580.0,False,,,,,,,,,
585.0,False,,,,,,,,,
590.0,False,,,,,,,,,
595.0,False,,,,,,,,,
600.0,False,,,,,,,,,
605.0,False,,,,,,,,,
610.0,False,,,,,,,,,
615.0,False,,,,,,,,,
620.0,False,,,,,,,,,
625.0,False,,,,,,,,,
630.0,False,,,,,,,,,
635.0,False,,,,,,,,,
640.0,False,,,,,,,,,
645.0,False,,,,,,,,,
650.0,False,,,,,,,,,
655.0,False,,,,,,,,,
660.0,False,,,,,,,,,
665.0,False,,,,,,,,,
670.0,False,,,,,,,,,
675.0,False,,,,,,,,,
680.0,False,,,,,,,,,
685.0,False,,,,,,,,,
690.0,False,,,,,,,,,
695.0,False,,,,,,,,,
700.0,False,,,,,,,,,
705.0,False,,,,,,,,,
710.0,False,,,,,,,,,
715.0,False,,,,,,,,,
720.0,False,,,,,,,,,
725.0,False,,,,,,,,,
730.0,False,,,,,,,,,
735.0,False,,,,,,,,,
740.0,False,,,,,,,,,
745.0,False,,,,,,,,,
750.0,False,,,,,,,,,
755.0,False,,,,,,,,,
760.0,False,,,,,,,,,
765.0,False,,,,,,,,,
770.0,False,,,,,,,,,
775.0,False,,,,,,,,,
780.0,False,,,,,,,,,
785.0,False,,,,,,,,,
790.0,False,,,,,,,,,
795.0,False,,,,,,,,,
800.0,False,,,,,,,,,
805.0,False,,,,,,,,,
810.0,False,,,,,,,,,
815.0,False,,,,,,,,,
820.0,False,,,,,,,,,
825.0,False,,,,,,,,,
830.0,False,,,,,,,,,
835.0,False,,,,,,,,,
840.0,False,,,,,,,,,
845.0,False,,,,,,,,,
850.0,False,,,,,,,,,
855.0,False,,,,,,,,,
860.0,False,,,,,,,,,
865.0,False,,,,,,,,,
870.0,False,,,,,,,,,
875.0,False,,,,,,,,,
880.0,False,,,,,,,,,
885.0,False,,,,,,,,,
890.0,False,,,,,,,,,
895.0,False,,,,,,,,,
900.0,False,,,,,,,,,
905.0,False,,,,,,,,,
910.0,False,,,,,,,,,
915.0,False,,,,,,,,,
920.0,False,,,,,,,,,
925.0,False,,,,,,,,,
930.0,False,,,,,,,,,
935.0,False,,,,,,,,,
940.0,False,,,,,,,,,
945.0,False,,,,,,,,,
950.0,False,,,,,,,,,
955.0,False,,,,,,,,,
960.0,False,,,,,,,,,
965.0,False,,,,,,,,,
970.0,False,,,,,,,,,
975.0,False,,,,,,,,,
980.0,False,,,,,,,,,
985.0,False,,,,,,,,,
990.0,False,,,,,,,,,
995.0,False,,,,,,,,,
1000.0,False,,,,,,,,,
