case,capacity_leased_mbps,nM,nV,pM,pV,rM_mbps,rV_mbps,revenue_mno_total,revenue_mvno_gross,revenue_mvno_retained,valid
parallel_baseline,100.0,199.0625,1104.9800166377313,68.37131437936448,2.7394219148172323,45.21193092621664,0.904993741916557,15834.470594353501,3027.006473012511,302.7006473012511,True
parallel_baseline,110.0,199.0625,1147.9915364583333,68.18710200040775,2.7960569639568638,44.70957613814757,0.9581952175306171,15962.359749026244,3209.8497300778627,320.98497300778627,True
parallel_baseline,115.0,199.0625,1168.2017686631943,68.01330128614822,2.8233841843259,44.45839874411303,0.9844189855284817,16007.351945244565,3298.282397745207,329.82823977452074,True
parallel_baseline,120.0,199.0625,1188.4120008680557,67.68425243230267,2.847989467570981,44.20722135007849,1.0097508264166637,16019.52287525171,3384.584861607178,338.4584861607178,True
parallel_baseline,125.0,199.0625,1207.5858109085648,67.26462134532257,2.872266688245396,43.956043956043956,1.0351231264132887,16011.521334636702,3468.5084978704745,346.8508497870475,True
parallel_baseline,130.0,199.0625,1226.241409866898,66.84396411452666,2.895353298893959,43.70486656200942,1.0601501380883134,16001.488506716614,3550.4021112985024,355.04021112985026,True
parallel_baseline,140.0,199.0625,1260.9615523726852,66.02347620371452,2.9410730159350975,43.202511773940344,1.1102638279221864,15980.520228035366,3708.579995814936,370.85799958149363,True
parallel_baseline,350.0,198.48958333333334,1644.442229094329,52.866287682168505,3.582579641286644,32.74731041721333,2.12838124567478,15295.618140516593,5891.345251225371,589.1345251225371,True
