capacity_leased_mbps,nM,nV,valid,interval_contains,pV_formula_error,pM_root_residual,revenue_identity_error
100.0,1355.3757603613549,644.6242396386451,False,False,,,
100.0,1356.707059384427,643.2929406155729,False,False,,,
100.0,1358.0383584074991,641.9616415925009,False,False,,,
100.0,1359.3696574305714,640.6303425694286,False,False,,,
100.0,1360.7009564536434,639.2990435463566,False,False,,,
100.0,1362.0322554767156,637.9677445232844,False,False,,,
100.0,1363.3635544997876,636.6364455002124,False,False,,,
100.0,1364.6948535228598,635.3051464771402,False,False,,,
100.0,1366.0261525459318,633.9738474540682,False,False,,,
100.0,1367.357451569004,632.6425484309959,False,False,,,
100.0,1368.6887505920763,631.3112494079237,False,False,,,
100.0,1370.0200496151483,629.9799503848517,False,False,,,
100.0,1371.3513486382205,628.6486513617795,False,False,,,
100.0,1372.6826476612925,627.3173523387075,False,False,,,
100.0,1374.0139466843648,625.9860533156352,False,False,,,
100.0,1375.3452457074368,624.6547542925632,False,False,,,
100.0,1376.676544730509,623.323455269491,False,False,,,
100.0,1378.0078437535813,621.9921562464187,False,False,,,
100.0,1379.3391427766533,620.6608572233467,False,False,,,
100.0,1380.6704417997255,619.3295582002745,False,False,,,
100.0,1382.0017408227975,617.9982591772025,False,False,,,
100.0,1383.3330398458697,616.6669601541303,False,False,,,
100.0,1384.6643388689417,615.3356611310583,False,False,,,
100.0,1385.995637892014,614.004362107986,False,False,,,
100.0,1387.326936915086,612.673063084914,False,False,,,
100.0,1388.6582359381582,611.3417640618418,False,False,,,
100.0,1389.9895349612304,610.0104650387696,False,False,,,
100.0,1391.3208339843025,608.6791660156975,False,False,,,
100.0,1392.6521330073747,607.3478669926253,False,False,,,
100.0,1393.9834320304467,606.0165679695533,False,False,,,
100.0,1395.314731053519,604.6852689464811,False,False,,,
100.0,1396.646030076591,603.3539699234091,False,False,,,
100.0,1397.9773290996632,602.0226709003368,False,False,,,
100.0,1399.3086281227352,600.6913718772648,False,False,,,
100.0,1400.6399271458074,599.3600728541926,False,False,,,
