capacity_leased_mbps,nM,nV,valid,theta_m_error,theta_v_error,residual_norm2,residual_ok,revenue_identity_error,mvno_retained_identity_error,monopoly_margin
5.0,,,False,,,,False,,,
10.0,,,False,,,,False,,,
15.0,,,False,,,,False,,,
20.0,,,False,,,,False,,,
25.0,,,False,,,,False,,,
30.0,,,False,,,,False,,,
35.0,,,False,,,,False,,,
40.0,,,False,,,,False,,,
45.0,,,False,,,,False,,,
50.0,,,False,,,,False,,,
55.0,,,False,,,,False,,,
60.0,,,False,,,,False,,,
65.0,,,False,,,,False,,,
70.0,,,False,,,,False,,,
75.0,,,False,,,,False,,,
80.0,,,False,,,,False,,,
85.0,,,False,,,,False,,,
90.0,199.0625,1058.341019241898,True,-2.2737367544323206e-13,-4.64108325104462e-08,4.641083251100317e-08,True,0.0,0.0,1267.4099966939339
95.0,199.0625,1082.1787290219906,True,-2.842170943040401e-14,-5.363745003705844e-10,5.36374501123597e-10,True,0.0,0.0,1338.654658987769
100.0,199.0625,1104.9800166377313,True,-3.410605131648481e-13,0.0,3.410605131648481e-13,True,0.0,-5.684341886080802e-14,1407.529061774845
105.0,199.0625,1126.7448820891202,True,-2.842170943040401e-14,4.786215868080035e-10,4.786215876518785e-10,True,0.0,5.684341886080802e-14,1473.8880158906995
110.0,199.0625,1147.9915364583333,True,9.691802915767767e-12,1.7016645870171487e-09,1.7016921865460867e-09,True,0.0,0.0,1535.4182164475878
115.0,199.0625,1168.2017686631943,True,7.673861546209082e-12,-7.825656211934984e-08,7.82565624956004e-08,True,0.0,0.0,1580.4104126659095
120.0,199.0625,1188.4120008680557,True,5.4285465012071654e-12,4.547473508864641e-13,5.447560212508607e-12,True,0.0,0.0,1592.5813426730547
125.0,199.0625,1207.5858109085648,True,-1.8380319488642272e-10,5.61317392566707e-09,5.616182434202002e-09,True,0.0,5.684341886080802e-14,1584.579802058046
130.0,199.0625,1226.241409866898,True,6.260876261876547e-09,-4.547473508864641e-13,6.2608762783914195e-09,True,0.0,0.0,1574.5469741379584
135.0,199.0625,1243.8605866608796,True,9.475797924096696e-11,-5.9117155615240335e-12,9.494220879414956e-11,True,0.0,0.0,1563.8865714165167
140.0,199.0625,1260.9615523726852,True,-5.355786925065331e-10,7.272092261700891e-08,7.272289481865298e-08,True,0.0,0.0,1553.5786954567102
145.0,199.0625,1277.5443070023148,True,-3.8660914469801355e-09,1.1823431123048067e-11,3.8661095263761575e-09,True,0.0,0.0,1543.4829958989594
150.0,199.0625,1293.6088505497685,True,-1.2505552149377763e-12,3.6511664802674204e-09,3.6511666944302514e-09,True,0.0,0.0,1533.4753304904098
155.0,199.0625,1309.1551830150463,True,3.1599824978911784e-09,-7.176618055382278e-08,7.183571646939195e-08,True,0.0,0.0,1523.4476134165725
160.0,199.0625,1324.183304398148,True,-7.048583938740194e-11,-2.2737367544323206e-13,7.048620611818249e-11,True,0.0,0.0,1513.305685006404
165.0,199.0625,1338.693214699074,True,-1.2429950402292889e-09,0.0,1.2429950402292889e-09,True,0.0,5.684341886080802e-14,1502.9673749239137
170.0,199.0625,1352.684913917824,True,2.6071234060509596e-10,0.0,2.6071234060509596e-10,True,0.0,0.0,1492.3607235582258
175.0,199.0625,1366.158402054398,True,-1.943334382303874e-09,-2.091837814077735e-11,1.9434469635131337e-09,True,0.0,-5.684341886080802e-14,1481.4223195230534
180.0,199.0625,1379.113679108796,True,4.334310688136611e-11,-2.2184394765645266e-08,2.2184437106740014e-08,True,0.0,-5.684341886080802e-14,1470.0957210839388
