capacity_leased_mbps,nM,nV,valid,theta_m_error,theta_v_error,residual_norm2,residual_ok,revenue_identity_error,mvno_retained_identity_error,monopoly_margin
185.0,199.0625,1391.5507450810182,True,-1.7458887668908574e-09,6.320988177321851e-11,1.7470326486672945e-09,True,-3.637978807091713e-12,0.0,1458.3299479852012
190.0,199.0625,1403.9878110532409,True,-8.242295734817162e-13,3.0468072509393096e-11,3.0479219098058225e-11,True,0.0,-5.684341886080802e-14,1446.955762317064
195.0,199.0625,1415.906665943287,True,1.956010464709834e-09,0.0,1.956010464709834e-09,True,1.8189894035458565e-12,5.684341886080802e-14,1435.0431320411717
200.0,199.0625,1427.3073097511574,True,3.12212478092988e-10,1.0506937542231753e-08,1.0511575198220103e-08,True,0.0,5.684341886080802e-14,1422.559762157569
205.0,199.0625,1438.1897424768517,True,1.4210854715202004e-13,1.23463905765675e-10,1.2346398755003278e-10,True,1.8189894035458565e-12,0.0,1409.4745372253237
210.0,199.0625,1449.072175202546,True,-2.842170943040401e-14,-1.956777850864455e-09,1.9567778510708644e-09,True,0.0,-5.684341886080802e-14,1396.6045410475035
215.0,199.0625,1459.4363968460648,True,-2.1316282072803006e-12,2.412434696452692e-09,2.4124356382062522e-09,True,0.0,0.0,1383.0687537020876
220.0,199.0625,1469.8006184895833,True,-5.028653049521381e-10,-2.0463630789890885e-12,5.028694686759755e-10,True,0.0,0.0,1369.6745249221112
225.0,199.0625,1479.6466290509259,True,2.6433610855747247e-09,2.31239027925767e-10,2.653456107940518e-09,True,0.0,5.684341886080802e-14,1355.5640950227953
230.0,199.0625,1488.9744285300926,True,1.1368683772161603e-12,1.2562168194563128e-08,1.2562168246006068e-08,True,0.0,-5.684341886080802e-14,1340.7251167775266
235.0,199.0625,1497.7840169270833,True,7.425455805787351e-10,-3.410605131648481e-12,7.425534132063328e-10,True,0.0,0.0,1325.140630278367
240.0,198.48958333333334,1507.0723620756173,True,2.6574298317427747e-10,6.59383658785373e-12,2.658247764737359e-10,True,0.0,-5.684341886080802e-14,1309.6509706389916
245.0,198.48958333333334,1515.8847686390818,True,3.836930773104541e-12,5.642596079269424e-08,5.642596092314871e-08,True,0.0,-5.684341886080802e-14,1294.3186043816513
250.0,198.48958333333334,1524.1787983458719,True,-1.5279510989785194e-09,7.396465662168339e-10,1.697560486046379e-09,True,0.0,1.1368683772161603e-13,1278.188533671455
255.0,199.0625,1531.9859483506943,True,-2.842170943040401e-14,-3.609920895542018e-08,3.609920895543137e-08,True,0.0,5.684341886080802e-14,1261.430306331442
260.0,198.48958333333334,1539.7301040461034,True,-4.276870413377765e-09,5.48516254639253e-09,6.955474728095378e-09,True,0.0,-1.1368683772161603e-13,1244.2865034599072
265.0,198.48958333333334,1547.5057568962193,True,3.115019353572279e-11,1.4090119293541647e-08,1.4090153726655785e-08,True,0.0,0.0,1227.2694084388804
270.0,198.48958333333334,1554.7630328896605,True,7.105427357601002e-12,-6.773689165129326e-09,6.773692891834436e-09,True,0.0,0.0,1209.4121110092274
275.0,198.48958333333334,1562.020308883102,True,-1.6200374375330284e-12,-2.3226220946526155e-09,2.322622659643577e-09,True,0.0,0.0,1191.4767753022988
280.0,198.48958333333334,1568.759208019869,True,-1.4210854715202004e-13,-3.205968823749572e-11,3.206000319283507e-11,True,0.0,0.0,1172.68908792838
285.0,198.48958333333334,1575.4981071566358,True,-4.0517988963983953e-10,0.0,4.0517988963983953e-10,True,1.8189894035458565e-12,0.0,1153.8012783903268
290.0,198.48958333333334,1581.7186294367284,True,1.4210854715202004e-12,2.243723429273814e-09,2.2437238793033693e-09,True,-1.8189894035458565e-12,0.0,1134.0495486243672
295.0,198.48958333333334,1587.939151716821,True,0.0,1.9422259356360883e-09,1.9422259356360883e-09,True,0.0,1.1368683772161603e-13,1114.1801369732766
300.0,198.48958333333334,1594.1596739969136,True,8.526512829121202e-14,3.0240698833949864e-09,3.0240698845970324e-09,True,0.0,1.1368683772161603e-13,1094.1813708620812
305.0,198.48958333333334,1599.8618194203318,True,7.761116194160422e-10,0.0,7.761116194160422e-10,True,0.0,0.0,1073.302463687649
310.0,198.48958333333334,1605.56396484375,True,-1.1368683772161603e-13,-1.5916157281026244e-12,1.5956708065935117e-12,True,0.0,0.0,1052.2801774555355
315.0,198.48958333333334,1610.7477334104938,True,1.9042545318370685e-12,-3.1377567211166024e-11,3.143529718983524e-11,True,1.8189894035458565e-12,0.0,1030.3697298868956
320.0,198.48958333333334,1616.4498788339122,True,5.186109319765819e-10,-1.887201506178826e-11,5.189541903849619e-10,True,0.0,-1.1368683772161603e-13,1009.0380860114547
325.0,198.48958333333334,1621.633647400656,True,1.0200551514571998e-10,1.8394530343357474e-10,2.1033544583691448e-10,True,0.0,-1.1368683772161603e-13,986.8077039639047
330.0,198.48958333333334,1626.2990391107253,True,8.338929546880536e-11,-6.56275460642064e-08,6.562759904326938e-08,True,-1.8189894035458565e-12,0.0,963.6834810186829
335.0,198.48958333333334,1630.9644308207949,True,9.094947017729282e-13,9.094947017729282e-12,9.140308630886366e-12,True,0.0,0.0,940.3845589286848
340.0,198.48958333333334,1635.6298225308642,True,-1.4777299384149956e-09,0.0,1.4777299384149956e-09,True,0.0,0.0,916.9079038784403
345.0,198.48958333333334,1640.2952142409338,True,2.6858515411731787e-11,1.789203452062793e-09,1.7894050331670406e-09,True,0.0,0.0,893.2467718980661
350.0,198.48958333333334,1644.442229094329,True,-7.590813311253441e-09,2.937667886726558e-10,7.596495616560933e-09,True,1.8189894035458565e-12,0.0,868.6766079379377
355.0,198.48958333333334,1649.1076208043983,True,8.60723048390355e-10,3.0386217986233532e-09,3.158174567863437e-09,True,0.0,0.0,844.629076364794
360.0,198.48958333333334,1653.2546356577934,True,8.839151632855646e-12,-3.5925040720030665e-11,3.6996474863484983e-11,True,-1.8189894035458565e-12,0.0,819.6678355321546
365.0,198.48958333333334,1656.8832736545141,True,-1.4210854715202004e-13,1.5916157281026244e-11,1.591679168153992e-11,True,0.0,0.0,793.7991531639909
370.0,198.48958333333334,1661.030288507909,True,-3.6311860185378464e-09,3.511786417220719e-08,3.530509730787919e-08,True,0.0,0.0,768.4290800998697
375.0,198.48958333333334,1664.6589265046298,True,1.4210854715202004e-12,1.780335878720507e-10,1.7803925941913082e-10,True,0.0,-1.1368683772161603e-13,742.1464310667416
380.0,198.48958333333334,1668.2875645013505,True,-2.4584778657299466e-11,2.0688730728579685e-08,2.0688745335834626e-08,True,0.0,-1.1368683772161603e-13,715.6498779453232
385.0,198.48958333333334,1671.3978256413968,True,2.1449864107125904e-10,-5.070228326076176e-08,5.0702736982549017e-08,True,0.0,0.0,688.2384865646964
390.0,198.48958333333334,1675.0264636381175,True,1.7053025658242404e-13,1.348325895378366e-10,1.348326973773318e-10,True,0.0,0.0,661.3071965181407
395.0,,,False,,,,False,,,
400.0,,,False,,,,False,,,
405.0,,,False,,,,False,,,
410.0,,,False,,,,False,,,
415.0,,,False,,,,False,,,
420.0,,,False,,,,False,,,
425.0,,,False,,,,False,,,
430.0,,,False,,,,False,,,
435.0,,,False,,,,False,,,
440.0,,,False,,,,False,,,
445.0,,,False,,,,False,,,
450.0,,,False,,,,False,,,
455.0,,,False,,,,False,,,
460.0,,,False,,,,False,,,
465.0,,,False,,,,False,,,
470.0,,,False,,,,False,,,
475.0,,,False,,,,False,,,
480.0,,,False,,,,False,,,
485.0,,,False,,,,False,,,
490.0,,,False,,,,False,,,
495.0,,,False,,,,False,,,
500.0,,,False,,,,False,,,
505.0,,,False,,,,False,,,
510.0,,,False,,,,False,,,
515.0,,,False,,,,False,,,
520.0,,,False,,,,False,,,
525.0,,,False,,,,False,,,
530.0,,,False,,,,False,,,
535.0,,,False,,,,False,,,
540.0,,,False,,,,False,,,
545.0,,,False,,,,False,,,
550.0,,,False,,,,False,,,
555.0,,,False,,,,False,,,
560.0,,,False,,,,False,,,
565.0,,,False,,,,False,,,
570.0,,,False,,,,False,,,
575.0,,,False,,,,False,,,
580.0,,,False,,,,False,,,
585.0,,,False,,,,False,,,
590.0,,,False,,,,False,,,
595.0,,,False,,,,False,,,
600.0,,,False,,,,False,,,
605.0,,,False,,,,False,,,
610.0,,,False,,,,False,,,
615.0,,,False,,,,False,,,
620.0,,,False,,,,False,,,
625.0,,,False,,,,False,,,
630.0,,,False,,,,False,,,
635.0,,,False,,,,False,,,
640.0,,,False,,,,False,,,
645.0,,,False,,,,False,,,
650.0,,,False,,,,False,,,
655.0,,,False,,,,False,,,
660.0,,,False,,,,False,,,
665.0,,,False,,,,False,,,
670.0,,,False,,,,False,,,
675.0,,,False,,,,False,,,
680.0,,,False,,,,False,,,
685.0,,,False,,,,False,,,
690.0,,,False,,,,False,,,
695.0,,,False,,,,False,,,
700.0,,,False,,,,False,,,
705.0,,,False,,,,False,,,
710.0,,,False,,,,False,,,
715.0,,,False,,,,False,,,
720.0,,,False,,,,False,,,
725.0,,,False,,,,False,,,
730.0,,,False,,,,False,,,
735.0,,,False,,,,False,,,
740.0,,,False,,,,False,,,
745.0,,,False,,,,False,,,
750.0,,,False,,,,False,,,
755.0,,,False,,,,False,,,
760.0,,,False,,,,False,,,
765.0,,,False,,,,False,,,
770.0,,,False,,,,False,,,
775.0,,,False,,,,False,,,
780.0,,,False,,,,False,,,
785.0,,,False,,,,False,,,
790.0,,,False,,,,False,,,
795.0,,,False,,,,False,,,
800.0,,,False,,,,False,,,
805.0,,,False,,,,False,,,
810.0,,,False,,,,False,,,
815.0,,,False,,,,False,,,
820.0,,,False,,,,False,,,
825.0,,,False,,,,False,,,
830.0,,,False,,,,False,,,
835.0,,,False,,,,False,,,
840.0,,,False,,,,False,,,
845.0,,,False,,,,False,,,
850.0,,,False,,,,False,,,
855.0,,,False,,,,False,,,
860.0,,,False,,,,False,,,
865.0,,,False,,,,False,,,
870.0,,,False,,,,False,,,
875.0,,,False,,,,False,,,
880.0,,,False,,,,False,,,
885.0,,,False,,,,False,,,
890.0,,,False,,,,False,,,
895.0,,,False,,,,False,,,
900.0,,,False,,,,False,,,
905.0,,,False,,,,False,,,
910.0,,,False,,,,False,,,
915.0,,,False,,,,False,,,
920.0,,,False,,,,False,,,
925.0,,,False,,,,False,,,
930.0,,,False,,,,False,,,
935.0,,,False,,,,False,,,
940.0,,,False,,,,False,,,
945.0,,,False,,,,False,,,
950.0,,,False,,,,False,,,
955.0,,,False,,,,False,,,
960.0,,,False,,,,False,,,
965.0,,,False,,,,False,,,
970.0,,,False,,,,False,,,
975.0,,,False,,,,False,,,
980.0,,,False,,,,False,,,
985.0,,,False,,,,False,,,
990.0,,,False,,,,False,,,
995.0,,,False,,,,False,,,
1000.0,,,False,,,,False,,,
