capacity_leased_mbps,nM,nV,valid,interval_contains,pV_formula_error,pM_root_residual,revenue_identity_error
235.0,857.9366566691886,1142.0633433308114,True,True,0.0,0.0,0.0
240.0,198.91679324308416,1801.0832067569158,True,True,0.0,-1.950866135302931e-10,0.0
245.0,198.90558684231678,1801.0944131576832,True,True,0.0,-4.424691724125296e-10,0.0
250.0,198.89438316504834,1801.1056168349517,True,True,0.0,6.821210263296962e-13,0.0
255.0,198.88461270696098,1801.115387293039,True,True,0.0,-3.637978807091713e-12,0.0
260.0,198.87274150172198,1801.127258498278,True,True,0.0,2.2737367544323206e-13,0.0
265.0,198.86163620628872,1801.1383637937113,True,True,0.0,2.2737367544323206e-13,0.0
270.0,198.85148348232042,1801.1485165176796,True,True,0.0,7.844391802791506e-10,0.0
275.0,198.84046969293036,1801.1595303070696,True,True,0.0,2.4813289201119915e-09,0.0
280.0,198.82863333085925,1801.1713666691408,True,True,0.0,-2.810338628478348e-10,0.0
285.0,198.81786678805497,1801.182133211945,True,True,0.0,2.2737367544323206e-13,0.0
290.0,198.80634820602017,1801.1936517939798,True,True,0.0,-4.547473508864641e-13,0.0
295.0,198.79410939242553,1801.2058906075745,True,True,0.0,5.775291356258094e-11,0.0
300.0,198.78303742089292,1801.216962579107,True,True,0.0,0.0,0.0
305.0,198.7713038589825,1801.2286961410175,True,True,0.0,1.2214513844810426e-09,0.0
310.0,198.75893525659353,1801.2410647434065,True,True,0.0,-5.435140337795019e-09,0.0
315.0,198.74781460628378,1801.2521853937162,True,True,0.0,0.0,0.0
320.0,198.7361081408278,1801.2638918591722,True,True,0.0,1.1141310096718371e-11,0.0
325.0,198.72383822328902,1801.276161776711,True,True,0.0,-5.115907697472721e-10,0.0
330.0,198.7110260180034,1801.2889739819966,True,True,0.0,4.501998773775995e-11,0.0
335.0,198.6995504799927,1801.3004495200073,True,True,0.0,5.322135621099733e-09,0.0
340.0,198.6857130305134,1801.3142869694866,True,True,0.0,-1.127773430198431e-10,0.0
345.0,198.6732497386888,1801.3267502613112,True,True,0.0,-4.547473508864641e-13,0.0
350.0,198.6603188083743,1801.3396811916257,True,True,0.0,-3.752802513190545e-09,0.0
355.0,198.64693650114532,1801.3530634988547,True,True,0.0,0.0,0.0
360.0,198.63497829482185,1801.3650217051782,True,True,0.0,2.5725057639647275e-09,0.0
365.0,198.62073909330798,1801.379260906692,True,True,0.0,-6.821210263296962e-13,0.0
370.0,198.60795314071424,1801.3920468592858,True,True,0.0,-5.161382432561368e-11,0.0
375.0,198.59477377607163,1801.4052262239284,True,True,0.0,3.774403012357652e-11,0.0
380.0,198.5812137329699,1801.41878626703,True,True,0.0,-6.821210263296962e-13,0.0
385.0,198.56728516408998,1801.43271483591,True,True,0.0,1.3048975233687088e-09,-1.8189894035458565e-12
390.0,198.5529996751286,1801.4470003248714,True,True,0.0,-3.986997398897074e-09,0.0
395.0,198.5383683563232,1801.4616316436768,True,True,0.0,9.094947017729282e-13,0.0
400.0,198.52340181176965,1801.4765981882304,True,True,0.0,3.3858214010251686e-09,0.0
405.0,198.50811018672357,1801.4918898132764,True,True,0.0,-3.342393029015511e-11,0.0
410.0,198.49250319303928,1801.5074968069607,True,True,0.0,-6.821210263296962e-12,0.0
415.0,198.47845223699142,1801.5215477630086,True,True,0.0,3.3573996915947646e-09,0.0
420.0,198.4622421960771,1801.537757803923,True,True,0.0,-4.333742253948003e-09,0.0
425.0,198.4457435484112,1801.5542564515888,True,True,0.0,3.4281129046576098e-09,0.0
430.0,198.43082710332396,1801.569172896676,True,True,0.0,0.0,0.0
435.0,198.4137756770483,1801.5862243229517,True,True,0.0,2.2737367544323206e-11,0.0
440.0,198.39832220382186,1801.6016777961781,True,True,0.0,4.6418335841735825e-09,0.0
445.0,198.38074823961665,1801.6192517603833,True,True,0.0,0.0,0.0
450.0,198.36292353703175,1801.6370764629683,True,True,0.0,-4.763478500535712e-09,0.0
455.0,198.3467182077411,1801.653281792259,True,True,0.0,-2.5011104298755527e-12,0.0
460.0,198.32841206465105,1801.671587935349,True,True,0.0,1.043417796608992e-09,0.0
465.0,198.3098745700686,1801.6901254299314,True,True,0.0,-4.547473508864641e-13,0.0
470.0,198.29111171061413,1801.7088882893859,True,True,0.0,-9.322320693172514e-11,0.0
