capacity_leased_mbps,nM,nV,valid,theta_m_error,theta_v_error,residual_norm2,residual_ok,revenue_identity_error,mvno_retained_identity_error,monopoly_margin
350.0,10.0,,False,,,,False,,,
350.0,14.95,,False,,,,False,,,
350.0,19.9,,False,,,,False,,,
350.0,24.85,,False,,,,False,,,
350.0,29.8,,False,,,,False,,,
350.0,34.75,,False,,,,False,,,
350.0,39.7,,False,,,,False,,,
350.0,44.65,,False,,,,False,,,
350.0,49.6,,False,,,,False,,,
350.0,54.550000000000004,,False,,,,False,,,
350.0,59.5,,False,,,,False,,,
350.0,64.45,,False,,,,False,,,
350.0,69.4,,False,,,,False,,,
350.0,74.35000000000001,,False,,,,False,,,
350.0,79.3,,False,,,,False,,,
350.0,84.25,,False,,,,False,,,
350.0,89.2,,False,,,,False,,,
350.0,94.15,,False,,,,False,,,
350.0,99.10000000000001,,False,,,,False,,,
350.0,104.05,,False,,,,False,,,
350.0,109.0,,False,,,,False,,,
350.0,113.95,,False,,,,False,,,
350.0,118.9,,False,,,,False,,,
350.0,123.85000000000001,,False,,,,False,,,
350.0,128.8,,False,,,,False,,,
350.0,133.75,,False,,,,False,,,
350.0,138.70000000000002,,False,,,,False,,,
350.0,143.65,,False,,,,False,,,
350.0,148.6,,False,,,,False,,,
350.0,153.55,,False,,,,False,,,
350.0,158.5,,False,,,,False,,,
350.0,163.45000000000002,,False,,,,False,,,
350.0,168.4,,False,,,,False,,,
350.0,173.35,1664.7494791666668,True,-8.978105370260892e-09,1.9090293790213764e-09,9.178821776757309e-09,True,0.0,0.0,131.10710985320293
350.0,178.3,1660.7648437499997,True,1.5063505998114124e-12,2.021351974690333e-10,2.021408101991645e-10,True,0.0,0.0,302.0709139266273
350.0,183.25,1656.77734375,True,-6.17319528828375e-11,1.4097167877480388e-11,6.332111929597214e-11,True,0.0,0.0,466.84894468018865
350.0,188.20000000000002,1652.7869791666667,True,1.2144596439611632e-10,4.547473508864641e-13,1.2144681578063664e-10,True,0.0,-1.1368683772161603e-13,623.2836855410187
